Format Version,1.22,Take Name,Kiryu's radar 3 turning,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-19 10.42.05.168 AM,Total Frames in Take,6671,Total Exported Frames,6671,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
41,0.113889,0.000869,0.194093,0.064808,-0.978840,-4.399472,0.954062,2.247374,0.000000,-4.264043,0.936933,2.182022,0.924483,-4.344019,0.939808,2.388687,0.891246,-4.252677,0.929412,2.303375,0.962807,-4.539165,0.981818,2.116753,0.890390,-4.597453,0.982339,2.246032,0.901684,-4.264043,0.936933,2.182022,-4.344019,0.939808,2.388687,-4.252677,0.929412,2.303375,-4.539165,0.981818,2.116753,-4.597453,0.982339,2.246032
42,0.116667,0.000584,0.193879,0.065069,-0.978865,-4.399474,0.953953,2.247378,0.000000,-4.264078,0.936815,2.181962,0.937116,-4.343972,0.939579,2.388660,0.894781,-4.252667,0.929206,2.303305,0.969995,-4.539207,0.981854,2.116831,0.894767,-4.597445,0.982309,2.246133,0.884594,-4.264078,0.936815,2.181962,-4.343972,0.939579,2.388660,-4.252667,0.929206,2.303305,-4.539207,0.981854,2.116831,-4.597444,0.982309,2.246133
43,0.119444,0.000817,0.193857,0.065081,-0.978868,-4.399450,0.953952,2.247369,0.000000,-4.264061,0.936770,2.181950,0.935912,-4.343940,0.939636,2.388652,0.894427,-4.252642,0.929214,2.303295,0.971765,-4.539190,0.981810,2.116820,0.893425,-4.597418,0.982331,2.246125,0.887099,-4.264061,0.936770,2.181950,-4.343940,0.939636,2.388652,-4.252642,0.929214,2.303295,-4.539190,0.981810,2.116820,-4.597418,0.982331,2.246125
44,0.122222,0.001324,0.193623,0.065262,-0.978902,-4.399457,0.954004,2.247406,0.000000,-4.264112,0.936689,2.181930,0.933968,-4.343878,0.939784,2.388673,0.883475,-4.252632,0.929235,2.303276,0.961397,-4.539251,0.981822,2.116908,0.884316,-4.597410,0.982490,2.246244,0.911853,-4.264112,0.936689,2.181930,-4.343878,0.939784,2.388673,-4.252632,0.929235,2.303276,-4.539251,0.981822,2.116908,-4.597410,0.982490,2.246244
45,0.125000,0.001040,0.193976,0.064708,-0.978869,-4.399426,0.954085,2.247403,0.000000,-4.264012,0.936951,2.182022,0.921730,-4.343935,0.939889,2.388707,0.882855,-4.252613,0.929475,2.303374,0.971345,-4.539157,0.981775,2.116809,0.889516,-4.597412,0.982335,2.246103,0.899127,-4.264012,0.936951,2.182022,-4.343935,0.939889,2.388707,-4.252613,0.929475,2.303374,-4.539157,0.981775,2.116809,-4.597412,0.982335,2.246103
46,0.127778,0.000627,0.194072,0.064645,-0.978855,-4.399439,0.954077,2.247423,0.000000,-4.264004,0.937032,2.182062,0.921730,-4.343978,0.939788,2.388729,0.882855,-4.252633,0.929465,2.303411,0.971345,-4.539145,0.981829,2.116816,0.889516,-4.597432,0.982273,2.246095,0.899127,-4.264004,0.937032,2.182062,-4.343978,0.939788,2.388729,-4.252633,0.929465,2.303411,-4.539145,0.981829,2.116816,-4.597432,0.982273,2.246095
47,0.130556,0.000589,0.193604,0.064980,-0.978925,-4.399468,0.953869,2.247465,0.000000,-4.264106,0.936755,2.181973,0.930554,-4.343884,0.939507,2.388716,0.903668,-4.252625,0.929149,2.303309,0.954423,-4.539279,0.981744,2.116997,0.886306,-4.597445,0.982190,2.246331,0.889307,-4.264106,0.936755,2.181973,-4.343884,0.939507,2.388716,-4.252625,0.929149,2.303309,-4.539279,0.981744,2.116997,-4.597445,0.982190,2.246331
48,0.133333,0.000925,0.193722,0.065164,-0.978890,-4.399323,0.954058,2.247442,0.000000,-4.263957,0.936837,2.181987,0.896705,-4.343775,0.939753,2.388713,0.857632,-4.252504,0.929299,2.303331,0.917633,-4.539095,0.981923,2.116929,0.902191,-4.597286,0.982476,2.246252,0.766507,-4.263957,0.936837,2.181987,-4.343775,0.939753,2.388713,-4.252504,0.929299,2.303331,-4.539095,0.981923,2.116929,-4.597286,0.982476,2.246252
49,0.136111,0.000736,0.193787,0.065200,-0.978874,-4.399368,0.954015,2.247414,0.000000,-4.263991,0.936820,2.181974,0.936837,-4.343842,0.939658,2.388688,0.894435,-4.252558,0.929235,2.303316,0.971934,-4.539119,0.981929,2.116889,0.894298,-4.597330,0.982434,2.246202,0.886948,-4.263991,0.936820,2.181974,-4.343842,0.939658,2.388688,-4.252558,0.929235,2.303316,-4.539119,0.981929,2.116889,-4.597330,0.982434,2.246202
50,0.138889,0.000904,0.193553,0.064732,-0.978952,-4.399463,0.954042,2.247514,0.000000,-4.264105,0.936931,2.182013,0.869363,-4.343853,0.939800,2.388766,0.814072,-4.252603,0.929415,2.303353,0.893750,-4.539304,0.981773,2.117047,0.893624,-4.597450,0.982289,2.246390,0.727821,-4.264105,0.936931,2.182013,-4.343853,0.939800,2.388766,-4.252603,0.929415,2.303353,-4.539304,0.981773,2.117047,-4.597450,0.982289,2.246390
51,0.141667,0.000726,0.193787,0.065094,-0.978881,-4.399449,0.953930,2.247348,0.000000,-4.264068,0.936762,2.181908,0.884091,-4.343920,0.939588,2.388622,0.853794,-4.252633,0.929183,2.303251,0.917810,-4.539206,0.981812,2.116823,0.896160,-4.597417,0.982307,2.246136,0.765170,-4.264068,0.936762,2.181908,-4.343920,0.939588,2.388622,-4.252633,0.929183,2.303251,-4.539206,0.981812,2.116823,-4.597417,0.982307,2.246136
52,0.144444,0.000969,0.193748,0.064978,-0.978897,-4.399410,0.953962,2.247392,0.000000,-4.264034,0.936779,2.181945,0.934277,-4.343862,0.939700,2.388667,0.892293,-4.252584,0.929264,2.303290,0.971675,-4.539186,0.981758,2.116868,0.892598,-4.597382,0.982311,2.246188,0.883455,-4.264034,0.936779,2.181945,-4.343862,0.939700,2.388667,-4.252584,0.929264,2.303290,-4.539186,0.981758,2.116868,-4.597382,0.982311,2.246188
53,0.147222,0.000909,0.193847,0.065158,-0.978865,-4.399414,0.953975,2.247344,0.000000,-4.264030,0.936757,2.181923,0.928566,-4.343901,0.939669,2.388628,0.873578,-4.252608,0.929217,2.303269,0.965875,-4.539152,0.981839,2.116795,0.882339,-4.597376,0.982390,2.246103,0.907491,-4.264030,0.936757,2.181923,-4.343901,0.939669,2.388628,-4.252608,0.929217,2.303269,-4.539152,0.981839,2.116795,-4.597376,0.982390,2.246103
54,0.150000,0.000933,0.193765,0.065208,-0.978878,-4.399434,0.953952,2.247412,0.000000,-4.264062,0.936719,2.181969,0.932541,-4.343899,0.939643,2.388687,0.887574,-4.252622,0.929180,2.303313,0.963639,-4.539191,0.981829,2.116886,0.884632,-4.597393,0.982388,2.246204,0.903624,-4.264062,0.936719,2.181969,-4.343899,0.939643,2.388687,-4.252622,0.929180,2.303313,-4.539191,0.981829,2.116886,-4.597393,0.982388,2.246204
55,0.152778,0.000349,0.194144,0.064778,-0.978832,-4.399555,0.953958,2.247435,0.000000,-4.264112,0.936930,2.182089,0.934899,-4.344123,0.939577,2.388743,0.881464,-4.252763,0.929290,2.303437,0.961262,-4.539233,0.981808,2.116819,0.882869,-4.597544,0.982185,2.246088,0.911583,-4.264112,0.936930,2.182089,-4.344123,0.939577,2.388743,-4.252763,0.929290,2.303437,-4.539233,0.981808,2.116819,-4.597544,0.982185,2.246088
56,0.155556,0.000729,0.193862,0.065587,-0.978834,-4.399529,0.953938,2.247425,0.000000,-4.264154,0.936650,2.182004,0.927722,-4.344037,0.939517,2.388705,0.899090,-4.252747,0.929038,2.303348,0.959091,-4.539237,0.981979,2.116881,0.887748,-4.597469,0.982507,2.246185,0.887075,-4.264154,0.936650,2.182004,-4.344037,0.939517,2.388705,-4.252747,0.929038,2.303348,-4.539237,0.981979,2.116881,-4.597469,0.982507,2.246185
57,0.158333,0.001674,0.193503,0.065370,-0.978918,-4.399379,0.954070,2.247419,0.000000,-4.264059,0.936667,2.181915,0.939450,-4.343764,0.939919,2.388679,0.901957,-4.252546,0.929286,2.303262,0.965671,-4.539201,0.981854,2.116943,0.892286,-4.597322,0.982623,2.246296,0.889765,-4.264059,0.936667,2.181915,-4.343764,0.939919,2.388679,-4.252546,0.929286,2.303262,-4.539201,0.981854,2.116943,-4.597322,0.982623,2.246296
58,0.161111,0.000637,0.193710,0.064986,-0.978904,-4.399419,0.953964,2.247386,0.000000,-4.264044,0.936838,2.181923,0.930602,-4.343865,0.939615,2.388649,0.874408,-4.252589,0.929245,2.303263,0.967505,-4.539202,0.981829,2.116885,0.884295,-4.597394,0.982291,2.246208,0.907794,-4.264044,0.936838,2.181923,-4.343865,0.939615,2.388649,-4.252589,0.929245,2.303263,-4.539202,0.981829,2.116885,-4.597394,0.982291,2.246208
59,0.163889,0.000692,0.193959,0.064679,-0.978875,-4.399443,0.954034,2.247439,0.000000,-4.264025,0.936969,2.182047,0.927784,-4.343950,0.939753,2.388733,0.873897,-4.252625,0.929414,2.303395,0.968581,-4.539177,0.981785,2.116862,0.884059,-4.597434,0.982247,2.246156,0.905437,-4.264025,0.936969,2.182047,-4.343950,0.939753,2.388733,-4.252625,0.929414,2.303395,-4.539177,0.981785,2.116862,-4.597434,0.982247,2.246156
60,0.166667,0.000471,0.194060,0.065289,-0.978815,-4.399467,0.953926,2.247339,0.000000,-4.264052,0.936754,2.181970,0.923029,-4.344025,0.939491,2.388638,0.879931,-4.252691,0.929106,2.303315,0.968291,-4.539138,0.981919,2.116745,0.891556,-4.597425,0.982361,2.246025,0.908922,-4.264052,0.936754,2.181970,-4.344025,0.939491,2.388638,-4.252691,0.929106,2.303315,-4.539138,0.981919,2.116745,-4.597425,0.982361,2.246025
61,0.169444,0.000719,0.193511,0.065934,-0.978880,-4.399374,0.953718,2.247340,0.000000,-4.264057,0.936352,2.181821,0.933312,-4.343793,0.939231,2.388578,0.888312,-4.252570,0.928709,2.303154,0.963750,-4.539155,0.981878,2.116900,0.884537,-4.597296,0.982420,2.246245,0.905682,-4.264057,0.936352,2.181821,-4.343793,0.939231,2.388578,-4.252570,0.928709,2.303154,-4.539155,0.981878,2.116900,-4.597296,0.982420,2.246245
62,0.172222,0.001256,0.193538,0.065345,-0.978913,-4.399348,0.954045,2.247435,0.000000,-4.264016,0.936724,2.181934,0.937355,-4.343748,0.939792,2.388690,0.905370,-4.252517,0.929247,2.303277,0.962335,-4.539159,0.981905,2.116964,0.893505,-4.597297,0.982558,2.246310,0.893567,-4.264016,0.936724,2.181934,-4.343748,0.939792,2.388690,-4.252517,0.929247,2.303277,-4.539159,0.981905,2.116964,-4.597297,0.982558,2.246310
63,0.175000,0.000643,0.193718,0.065013,-0.978901,-4.399367,0.953930,2.247370,0.000000,-4.263991,0.936797,2.181910,0.932586,-4.343816,0.939579,2.388635,0.880564,-4.252539,0.929204,2.303251,0.960419,-4.539146,0.981803,2.116867,0.883654,-4.597341,0.982269,2.246189,0.911657,-4.263991,0.936797,2.181910,-4.343816,0.939579,2.388635,-4.252539,0.929204,2.303251,-4.539146,0.981803,2.116867,-4.597341,0.982269,2.246189
64,0.177778,0.000260,0.194105,0.064856,-0.978834,-4.399440,0.953986,2.247402,0.000000,-4.264002,0.936956,2.182044,0.928874,-4.344000,0.939569,2.388704,0.873623,-4.252647,0.929290,2.303389,0.968600,-4.539123,0.981880,2.116801,0.881940,-4.597425,0.982237,2.246073,0.908367,-4.264002,0.936956,2.182044,-4.344000,0.939569,2.388704,-4.252647,0.929290,2.303389,-4.539123,0.981880,2.116801,-4.597425,0.982237,2.246073
65,0.180556,0.000526,0.193745,0.065049,-0.978893,-4.399268,0.953977,2.247374,0.000000,-4.263888,0.936856,2.181920,0.929147,-4.343728,0.939590,2.388639,0.903358,-4.252445,0.929233,2.303259,0.954682,-4.539037,0.981884,2.116868,0.886989,-4.597241,0.982320,2.246185,0.889452,-4.263888,0.936856,2.181920,-4.343728,0.939590,2.388639,-4.252445,0.929233,2.303259,-4.539037,0.981884,2.116868,-4.597241,0.982320,2.246185
66,0.183333,0.000187,0.193942,0.065127,-0.978849,-4.399423,0.953854,2.247339,0.000000,-4.264014,0.936773,2.181934,0.951610,-4.343946,0.939371,2.388619,0.901297,-4.252625,0.929069,2.303273,0.948158,-4.539133,0.981853,2.116789,0.927697,-4.597394,0.982204,2.246081,0.921559,-4.264014,0.936773,2.181934,-4.343946,0.939371,2.388619,-4.252625,0.929069,2.303273,-4.539133,0.981853,2.116789,-4.597394,0.982204,2.246081
67,0.186111,0.001301,0.193609,0.065470,-0.978891,-4.399395,0.953796,2.247332,0.000000,-4.264058,0.936435,2.181851,0.928206,-4.343819,0.939535,2.388596,0.872306,-4.252579,0.928961,2.303196,0.968039,-4.539180,0.981686,2.116840,0.881461,-4.597336,0.982361,2.246178,0.907690,-4.264058,0.936435,2.181851,-4.343819,0.939535,2.388596,-4.252579,0.928961,2.303196,-4.539180,0.981686,2.116840,-4.597336,0.982361,2.246178
68,0.188889,0.000485,0.193593,0.064724,-0.978944,-4.399398,0.953857,2.247364,0.000000,-4.264027,0.936823,2.181867,0.943500,-4.343804,0.939510,2.388612,0.902848,-4.252541,0.929211,2.303203,0.967027,-4.539226,0.981669,2.116900,0.887999,-4.597390,0.982070,2.246236,0.891576,-4.264027,0.936823,2.181867,-4.343804,0.939510,2.388612,-4.252541,0.929211,2.303203,-4.539226,0.981669,2.116900,-4.597390,0.982070,2.246236
69,0.191667,0.000501,0.193890,0.065117,-0.978860,-4.399413,0.953877,2.247360,0.000000,-4.264016,0.936743,2.181944,0.928810,-4.343916,0.939475,2.388640,0.904009,-4.252609,0.929111,2.303287,0.958976,-4.539139,0.981810,2.116813,0.887049,-4.597382,0.982247,2.246113,0.885343,-4.264016,0.936743,2.181944,-4.343916,0.939475,2.388640,-4.252609,0.929111,2.303287,-4.539139,0.981810,2.116813,-4.597382,0.982246,2.246113
70,0.194444,0.000838,0.193730,0.065263,-0.978881,-4.399428,0.953941,2.247358,0.000000,-4.264062,0.936713,2.181903,0.931267,-4.343886,0.939598,2.388627,0.929881,-4.252614,0.929147,2.303246,0.916095,-4.539191,0.981856,2.116846,0.903610,-4.597385,0.982391,2.246166,0.934195,-4.264062,0.936713,2.181903,-4.343886,0.939598,2.388627,-4.252614,0.929147,2.303246,-4.539191,0.981856,2.116846,-4.597385,0.982391,2.246166
71,0.197222,0.000034,0.193605,0.065770,-0.978873,-4.399396,0.953657,2.247382,0.000000,-4.264050,0.936453,2.181878,0.938610,-4.343845,0.939023,2.388617,0.879825,-4.252592,0.928662,2.303205,0.955926,-4.539157,0.981900,2.116939,0.881858,-4.597334,0.982244,2.246269,0.908083,-4.264050,0.936453,2.181878,-4.343845,0.939023,2.388617,-4.252592,0.928662,2.303205,-4.539157,0.981900,2.116939,-4.597334,0.982244,2.246269
72,0.200000,0.001274,0.193618,0.065904,-0.978860,-4.399349,0.954059,2.247411,0.000000,-4.264025,0.936599,2.181931,0.925482,-4.343790,0.939720,2.388674,0.899791,-4.252556,0.929088,2.303275,0.955612,-4.539106,0.982096,2.116920,0.883091,-4.597266,0.982791,2.246256,0.872718,-4.264025,0.936599,2.181931,-4.343790,0.939720,2.388674,-4.252556,0.929088,2.303275,-4.539106,0.982096,2.116920,-4.597266,0.982791,2.246256
73,0.202778,0.000149,0.194089,0.065123,-0.978820,-4.399360,0.953915,2.247357,0.000000,-4.263931,0.936840,2.181992,0.920839,-4.343925,0.939426,2.388654,0.885586,-4.252578,0.929130,2.303334,0.955103,-4.539031,0.981918,2.116766,0.879124,-4.597332,0.982261,2.246040,0.907959,-4.263931,0.936840,2.181992,-4.343925,0.939426,2.388654,-4.252578,0.929130,2.303334,-4.539031,0.981918,2.116766,-4.597332,0.982261,2.246040
74,0.205556,0.000816,0.193663,0.064978,-0.978914,-4.399291,0.953993,2.247366,0.000000,-4.263924,0.936838,2.181894,0.932094,-4.343721,0.939690,2.388628,0.881675,-4.252455,0.929286,2.303235,0.962735,-4.539088,0.981821,2.116872,0.883378,-4.597264,0.982330,2.246202,0.912340,-4.263924,0.936838,2.181894,-4.343721,0.939690,2.388628,-4.252455,0.929286,2.303235,-4.539088,0.981821,2.116872,-4.597264,0.982330,2.246202
75,0.208333,0.001047,0.193630,0.065826,-0.978863,-4.399338,0.954045,2.247417,0.000000,-4.264007,0.936645,2.181937,0.928262,-4.343783,0.939662,2.388677,0.870063,-4.252542,0.929087,2.303278,0.964999,-4.539096,0.982103,2.116930,0.878310,-4.597262,0.982730,2.246264,0.892844,-4.264007,0.936645,2.181937,-4.343783,0.939662,2.388677,-4.252542,0.929087,2.303278,-4.539096,0.982103,2.116930,-4.597262,0.982730,2.246264
76,0.211111,0.000634,0.193513,0.064878,-0.978950,-4.399310,0.953925,2.247394,0.000000,-4.263958,0.936829,2.181877,0.869346,-4.343696,0.939590,2.388635,0.816023,-4.252452,0.929239,2.303212,0.894814,-4.539152,0.981759,2.116950,0.896027,-4.597292,0.982209,2.246295,0.728921,-4.263958,0.936829,2.181877,-4.343696,0.939590,2.388635,-4.252452,0.929239,2.303212,-4.539152,0.981759,2.116950,-4.597292,0.982209,2.246295
77,0.213889,0.001881,0.193523,0.065204,-0.978925,-4.399297,0.953990,2.247380,0.000000,-4.263972,0.936590,2.181885,0.924337,-4.343680,0.939919,2.388646,0.884205,-4.252459,0.929268,2.303236,0.963291,-4.539124,0.981679,2.116889,0.889809,-4.597247,0.982494,2.246241,0.910761,-4.263972,0.936590,2.181885,-4.343680,0.939919,2.388646,-4.252459,0.929268,2.303236,-4.539124,0.981679,2.116889,-4.597247,0.982494,2.246241
78,0.216667,0.000370,0.193755,0.065923,-0.978832,-4.399415,0.953617,2.247280,0.000000,-4.264059,0.936313,2.181823,0.939052,-4.343907,0.939047,2.388540,0.895894,-4.252636,0.928593,2.303158,0.960457,-4.539129,0.981840,2.116783,0.891143,-4.597340,0.982289,2.246097,0.890319,-4.264059,0.936313,2.181823,-4.343907,0.939047,2.388540,-4.252636,0.928593,2.303158,-4.539129,0.981840,2.116783,-4.597340,0.982289,2.246097
79,0.219444,0.001382,0.193664,0.065510,-0.978877,-4.399394,0.953792,2.247302,0.000000,-4.264052,0.936407,2.181837,0.940319,-4.343834,0.939547,2.388573,0.903092,-4.252586,0.928950,2.303184,0.964104,-4.539163,0.981679,2.116791,0.893709,-4.597332,0.982379,2.246122,0.891010,-4.264052,0.936407,2.181837,-4.343834,0.939547,2.388573,-4.252586,0.928950,2.303184,-4.539163,0.981679,2.116791,-4.597332,0.982379,2.246122
80,0.222222,0.000363,0.193883,0.065065,-0.978865,-4.399374,0.953872,2.247314,0.000000,-4.263974,0.936775,2.181895,0.936877,-4.343875,0.939443,2.388592,0.899257,-4.252566,0.929115,2.303236,0.965080,-4.539104,0.981816,2.116775,0.892618,-4.597347,0.982210,2.246075,0.888166,-4.263974,0.936775,2.181895,-4.343875,0.939443,2.388592,-4.252566,0.929115,2.303236,-4.539104,0.981816,2.116775,-4.597347,0.982210,2.246075
81,0.225000,0.000699,0.193854,0.065407,-0.978847,-4.399415,0.953880,2.247347,0.000000,-4.264035,0.936640,2.181924,0.934913,-4.343915,0.939480,2.388627,0.896787,-4.252623,0.929034,2.303267,0.970533,-4.539135,0.981868,2.116806,0.895042,-4.597365,0.982377,2.246111,0.888138,-4.264035,0.936640,2.181924,-4.343915,0.939480,2.388627,-4.252623,0.929034,2.303267,-4.539135,0.981868,2.116806,-4.597365,0.982377,2.246111
82,0.227778,0.001029,0.193700,0.065575,-0.978866,-4.399433,0.953726,2.247266,0.000000,-4.264083,0.936388,2.181805,0.931451,-4.343890,0.939380,2.388534,0.879411,-4.252632,0.928845,2.303149,0.961060,-4.539186,0.981704,2.116758,0.881196,-4.597371,0.982312,2.246083,0.910881,-4.264083,0.936388,2.181805,-4.343890,0.939380,2.388534,-4.252632,0.928845,2.303149,-4.539186,0.981704,2.116758,-4.597371,0.982312,2.246083
83,0.230556,0.001271,0.193589,0.065822,-0.978871,-4.399466,0.953766,2.247299,0.000000,-4.264143,0.936327,2.181811,0.939923,-4.343895,0.939440,2.388558,0.903630,-4.252665,0.928821,2.303154,0.964360,-4.539236,0.981778,2.116816,0.893972,-4.597387,0.982466,2.246156,0.890856,-4.264143,0.936327,2.181811,-4.343895,0.939440,2.388558,-4.252665,0.928821,2.303154,-4.539236,0.981778,2.116816,-4.597387,0.982466,2.246156
84,0.233333,0.000471,0.193874,0.065189,-0.978858,-4.399412,0.953825,2.247317,0.000000,-4.264019,0.936679,2.181897,0.932940,-4.343914,0.939403,2.388595,0.882391,-4.252610,0.929035,2.303238,0.960371,-4.539138,0.981788,2.116777,0.883682,-4.597377,0.982220,2.246078,0.911860,-4.264019,0.936679,2.181897,-4.343914,0.939403,2.388595,-4.252610,0.929035,2.303238,-4.539138,0.981788,2.116777,-4.597377,0.982220,2.246078
85,0.236111,0.000440,0.193854,0.065170,-0.978863,-4.399437,0.953825,2.247313,0.000000,-4.264046,0.936690,2.181886,0.920696,-4.343934,0.939398,2.388588,0.885667,-4.252632,0.929040,2.303226,0.955282,-4.539170,0.981788,2.116779,0.878916,-4.597404,0.982210,2.246083,0.907950,-4.264046,0.936690,2.181886,-4.343934,0.939398,2.388588,-4.252632,0.929040,2.303226,-4.539170,0.981788,2.116779,-4.597404,0.982210,2.246083
86,0.238889,0.000248,0.193930,0.065060,-0.978856,-4.399390,0.953878,2.247325,0.000000,-4.263982,0.936802,2.181917,0.939770,-4.343906,0.939421,2.388605,0.901885,-4.252587,0.929116,2.303257,0.964291,-4.539107,0.981842,2.116776,0.892997,-4.597364,0.982206,2.246069,0.890051,-4.263982,0.936802,2.181917,-4.343906,0.939421,2.388605,-4.252587,0.929116,2.303257,-4.539107,0.981842,2.116776,-4.597364,0.982206,2.246069
87,0.241667,0.000948,0.193734,0.065359,-0.978874,-4.399328,0.953993,2.247368,0.000000,-4.263967,0.936722,2.181916,0.921710,-4.343789,0.939663,2.388640,0.885217,-4.252520,0.929175,2.303260,0.956145,-4.539085,0.981918,2.116852,0.879029,-4.597279,0.982490,2.246173,0.909034,-4.263967,0.936722,2.181916,-4.343789,0.939663,2.388640,-4.252520,0.929175,2.303260,-4.539085,0.981918,2.116852,-4.597279,0.982490,2.246173
88,0.244444,0.001680,0.193432,0.065518,-0.978922,-4.399357,0.953815,2.247258,0.000000,-4.264051,0.936377,2.181734,0.937381,-4.343727,0.939640,2.388509,0.900026,-4.252524,0.928985,2.303079,0.965064,-4.539189,0.981647,2.116803,0.892785,-4.597292,0.982426,2.246165,0.889452,-4.264051,0.936377,2.181734,-4.343727,0.939640,2.388509,-4.252524,0.928985,2.303079,-4.539189,0.981647,2.116803,-4.597292,0.982426,2.246165
89,0.247222,0.000017,0.194173,0.065060,-0.978808,-4.399375,0.953927,2.247228,0.000000,-4.263932,0.936890,2.181884,0.920288,-4.343965,0.939416,2.388531,0.920478,-4.252600,0.929154,2.303226,0.916135,-4.539027,0.981935,2.116617,0.880704,-4.597352,0.982240,2.245881,0.919715,-4.263932,0.936890,2.181884,-4.343965,0.939416,2.388531,-4.252600,0.929154,2.303226,-4.539027,0.981935,2.116617,-4.597352,0.982240,2.245881
90,0.250000,0.000190,0.194093,0.065200,-0.978814,-4.399403,0.953906,2.247251,0.000000,-4.263977,0.936805,2.181887,0.932181,-4.343972,0.939415,2.388548,0.886470,-4.252626,0.929099,2.303229,0.965776,-4.539069,0.981926,2.116657,0.885484,-4.597370,0.982285,2.245931,0.902181,-4.263977,0.936805,2.181887,-4.343972,0.939415,2.388548,-4.252626,0.929099,2.303229,-4.539069,0.981926,2.116657,-4.597370,0.982285,2.245931
91,0.252778,0.000270,0.193948,0.065169,-0.978845,-4.399405,0.953882,2.247283,0.000000,-4.263998,0.936776,2.181880,0.932181,-4.343930,0.939414,2.388565,0.886470,-4.252610,0.929088,2.303220,0.965776,-4.539111,0.981878,2.116728,0.885484,-4.597373,0.982254,2.246019,0.902181,-4.263998,0.936776,2.181880,-4.343930,0.939414,2.388565,-4.252610,0.929088,2.303220,-4.539111,0.981878,2.116728,-4.597373,0.982254,2.246019
92,0.255556,0.000638,0.193738,0.065149,-0.978888,-4.399334,0.953920,2.247307,0.000000,-4.263960,0.936755,2.181852,0.937423,-4.343794,0.939545,2.388573,0.900783,-4.252515,0.929151,2.303192,0.965971,-4.539101,0.981838,2.116799,0.891748,-4.597301,0.982311,2.246118,0.888384,-4.263960,0.936755,2.181852,-4.343794,0.939545,2.388573,-4.252515,0.929151,2.303192,-4.539101,0.981838,2.116799,-4.597301,0.982311,2.246118
93,0.258333,0.000596,0.193726,0.065074,-0.978895,-4.399338,0.953943,2.247309,0.000000,-4.263963,0.936803,2.181850,0.938627,-4.343792,0.939569,2.388573,0.900006,-4.252514,0.929194,2.303190,0.966325,-4.539112,0.981845,2.116806,0.891667,-4.597309,0.982302,2.246126,0.891098,-4.263963,0.936803,2.181850,-4.343792,0.939569,2.388573,-4.252514,0.929194,2.303190,-4.539112,0.981845,2.116806,-4.597309,0.982302,2.246126
94,0.261111,0.000294,0.193885,0.065713,-0.978821,-4.399483,0.953781,2.247320,0.000000,-4.264102,0.936541,2.181898,0.928408,-4.344007,0.939229,2.388593,0.876757,-4.252709,0.928820,2.303236,0.968920,-4.539175,0.981950,2.116786,0.883281,-4.597421,0.982367,2.246084,0.909612,-4.264102,0.936541,2.181898,-4.344007,0.939229,2.388593,-4.252709,0.928820,2.303236,-4.539175,0.981950,2.116786,-4.597421,0.982367,2.246084
95,0.263889,0.000376,0.193838,0.065274,-0.978860,-4.399447,0.953881,2.247306,0.000000,-4.264060,0.936732,2.181874,0.932833,-4.343943,0.939421,2.388577,0.896997,-4.252645,0.929060,2.303213,0.946904,-4.539177,0.981891,2.116780,0.884490,-4.597409,0.982302,2.246084,0.884744,-4.264060,0.936732,2.181874,-4.343943,0.939421,2.388577,-4.252645,0.929060,2.303213,-4.539177,0.981891,2.116780,-4.597409,0.982302,2.246084
96,0.266667,0.000659,0.193761,0.064982,-0.978894,-4.399350,0.953887,2.247303,0.000000,-4.263968,0.936759,2.181854,0.935391,-4.343811,0.939546,2.388572,0.893421,-4.252525,0.929171,2.303196,0.973246,-4.539120,0.981746,2.116786,0.892571,-4.597325,0.982215,2.246103,0.889061,-4.263968,0.936759,2.181854,-4.343811,0.939546,2.388572,-4.252525,0.929171,2.303196,-4.539120,0.981746,2.116786,-4.597325,0.982215,2.246103
97,0.269444,0.002106,0.193285,0.065385,-0.978959,-4.399289,0.953844,2.247261,0.000000,-4.264005,0.936362,2.181703,0.932675,-4.343607,0.939797,2.388504,0.881231,-4.252434,0.929077,2.303051,0.962171,-4.539171,0.981549,2.116832,0.883251,-4.597227,0.982434,2.246213,0.913078,-4.264005,0.936362,2.181703,-4.343607,0.939797,2.388504,-4.252434,0.929077,2.303051,-4.539171,0.981549,2.116832,-4.597227,0.982434,2.246213
